Segment Info
Segment Name,131
Recording Name,记录001
Subject Name,被试001
Start Time(s),328.843335
End Time(s),331.3346254

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,10,0.07,0.002,0.013,0.007
2,Blink,2,0.28,0.115,0.165,0.14
3,Fixation,6,1.815,0.176,0.537,0.3025
4,Saccades,15,0.326,0.001,0.07,0.0217333333333333

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Saccades,328.843,328.889,0.046
2,Fixation,328.889,329.065,0.176
3,Saccades,329.065,329.069,0.004
4,Null,329.069,329.074,0.005
5,Saccades,329.074,329.075,0.001
6,Null,329.075,329.085,0.01
7,Blink,329.085,329.2,0.115
8,Null,329.2,329.21,0.01
9,Saccades,329.21,329.217,0.007
10,Null,329.217,329.219,0.002
11,Saccades,329.219,329.234,0.015
12,Null,329.234,329.239,0.005
13,Saccades,329.239,329.242,0.003
14,Null,329.242,329.244,0.002
15,Saccades,329.244,329.247,0.003
16,Null,329.247,329.25,0.003
17,Saccades,329.25,329.259,0.009
18,Null,329.259,329.272,0.013
19,Saccades,329.272,329.274,0.002
20,Fixation,329.274,329.63,0.356
21,Saccades,329.63,329.687,0.057
22,Fixation,329.687,329.98,0.293
23,Saccades,329.98,329.997,0.017
24,Null,329.997,330.007,0.01
25,Blink,330.007,330.172,0.165
26,Null,330.172,330.182,0.01
27,Saccades,330.182,330.2,0.018
28,Fixation,330.2,330.737,0.537
29,Saccades,330.737,330.807,0.07
30,Fixation,330.807,331.04,0.233
31,Saccades,331.04,331.075,0.035
32,Fixation,331.075,331.295,0.22
33,Saccades,331.295,331.334,0.039
