Segment Info
Segment Name,172
Recording Name,记录002
Subject Name,被试002
Frequency(Hz),600
Start Time(s),432.4178278
End Time(s),434.9199247

Id,Time(s),LeftEyePositionValidity,LeftEyePositionX,LeftEyePositionY,LeftEyePositionZ,RightEyePositionValidity,RightEyePositionX,RightEyePositionY,RightEyePositionZ,LeftGazePositionValidity,LeftGazePositionX,LeftGazePositionY,LeftGazePositionZ,LeftGazePointValidity,LeftGazePointX,LeftGazePointY,RightGazePositionValidity,RightGazePositionX,RightGazePositionY,RightGazePositionZ,RightGazePointValidity,RightGazePointX,RightGazePointY,LeftPupilValidity,LeftPupilDiameter,RightPupilValidity,RightPupilDiameter
389,433.0651667,True,-49.9479827880859,-26.6226768493652,602.162719726563,True,9.59033489227295,-28.1422996520996,604.591979980469,True,-166.112411499023,166.961441040039,37.8891868591309,True,0.1990717202425,0.452974915504456,True,-168.350463867188,165.232330322266,37.2598190307617,True,0.195017263293266,0.458901107311249,True,2.94189453125,True,3.01264953613281
390,433.066833366667,True,-49.9440002441406,-26.626932144165,602.136413574219,True,9.5931510925293,-28.1393718719482,604.553894042969,True,-169.378814697266,166.070190429688,37.5648384094238,True,0.193154320120811,0.45602947473526,True,-168.200759887695,163.751495361328,36.7208061218262,True,0.195288479328156,0.463976353406906,True,2.93734741210938,True,3.01594543457031
391,433.068500033333,True,-49.9448928833008,-26.6302757263184,602.133911132813,True,9.59147930145264,-28.1452255249023,604.540771484375,True,-168.03662109375,168.555908203125,38.469539642334,True,0.19558584690094,0.447510123252869,True,-169.11247253418,162.778686523438,36.3668212890625,True,0.193636819720268,0.46731036901474,True,2.92747497558594,True,3.01800537109375
392,433.0701667,True,-49.9443321228027,-26.6299057006836,602.099243164063,True,9.59017753601074,-28.1528930664063,604.539855957031,True,-168.712265014648,168.495254516602,38.4474639892578,True,0.194361850619316,0.447718024253845,True,-169.075927734375,165.631622314453,37.405200958252,True,0.193703025579453,0.457532525062561,True,2.93699645996094,True,3.00538635253906
393,433.071833366667,True,-49.947868347168,-26.6357231140137,602.119201660156,True,9.58933353424072,-28.1550674438477,604.52392578125,True,-169.571563720703,169.855926513672,38.9426956176758,True,0.192805111408234,0.443054556846619,True,-168.471313476563,164.597198486328,37.0286445617676,True,0.19479838013649,0.461077898740768,True,2.93301391601563,True,3.01911926269531
394,433.073500033333,True,-49.944580078125,-26.6398506164551,602.093872070313,True,9.59004592895508,-28.1607608795166,604.545043945313,True,-168.014068603516,166.948715209961,37.884578704834,True,0.19562666118145,0.453018426895142,True,-169.426864624023,165.754898071289,37.450008392334,True,0.193067282438278,0.457110106945038,True,2.93309020996094,True,3.019287109375
395,433.0751667,True,-49.943717956543,-26.6388912200928,602.079223632813,True,9.58970165252686,-28.1638412475586,604.52587890625,True,-170.622528076172,170.046127319336,39.0119018554688,True,0.190901219844818,0.442402720451355,True,-169.480010986328,164.535751342773,37.0063209533691,True,0.192971020936966,0.461288511753082,True,2.93208312988281,True,3.01220703125
396,433.076833366667,True,-49.9444122314453,-26.642110824585,602.074401855469,True,9.58640289306641,-28.1611709594727,604.546997070313,True,-169.774383544922,169.513931274414,38.818187713623,True,0.192437708377838,0.444226741790771,True,-169.93620300293,166.252258300781,37.6311187744141,True,0.192144587635994,0.455405473709106,True,2.92437744140625,True,3.0076904296875
397,433.078500033333,True,-49.9468955993652,-26.6480751037598,602.0947265625,True,9.58916759490967,-28.1723747253418,604.560668945313,True,-169.481567382813,167.900390625,38.2309837341309,True,0.192968159914017,0.44975671172142,True,-169.421142578125,164.347625732422,36.9378356933594,True,0.193077698349953,0.461933255195618,True,2.93269348144531,True,3.01116943359375
398,433.0801667,True,-49.9429397583008,-26.6443309783936,602.068359375,True,9.58824920654297,-28.1704654693604,604.541381835938,True,-167.889297485352,165.205474853516,37.2500915527344,True,0.195852726697922,0.45899310708046,True,-170.28825378418,163.304626464844,36.5582275390625,True,0.191506773233414,0.465507805347443,True,2.94166564941406,True,3.01335144042969
