Data Info
Recording,记录002
Subject,被试002
Frequency(Hz),600
Duration(s),2.5007499
Resolution(px),1920,1080
Create Date,2025-01-03 13:01:35.515

Pupils Process Parameters
Interpolation
Method,Linear
Min pupil diameter (mm),2
Noise Reduction
Method,Enabled,滑动中值滤波
Window size (samples),Enabled,3

Pupil Data
Id,Time(s),LeftPupilDiameter(mm),RightPupilDiameter(mm),AveragePupilDiameter(mm),LeftPupilRadius(mm),RightPupilRadius(mm),AveragePupilRadius(mm),LeftPupilArea(mm²),RightPupilArea(mm²),AveragePupilArea(mm²)
1,837.291833366667,3.2066650390625,3.30827331542969,3.25746917724609,1.60333251953125,1.65413665771484,1.62873458862305,8.07601422314018,8.59592554664225,8.333942724749
2,837.293500033333,3.21221923828125,3.29423522949219,3.25322723388672,1.60610961914063,1.64711761474609,1.62661361694336,8.10401505156708,8.52312967508772,8.31225159402634
3,837.2951667,3.20500183105469,3.30827331542969,3.25663757324219,1.60250091552734,1.65413665771484,1.62831878662109,8.0676387876411,8.59592554664225,8.32968809938964
4,837.296833366667,3.21221923828125,3.31607055664063,3.26414489746094,1.60610961914063,1.65803527832031,1.63207244873047,8.10401505156708,8.63649262394386,8.36813618904404
5,837.298500033333,3.20111083984375,3.32681274414063,3.26396179199219,1.60055541992188,1.66340637207031,1.63198089599609,8.04806185241174,8.69253792842146,8.36719737745877
6,837.3001667,3.21176147460938,3.32681274414063,3.269287109375,1.60588073730469,1.66340637207031,1.6346435546875,8.10170545867755,8.69253792842146,8.3945226550034
7,837.301833366667,3.20111083984375,3.31680297851563,3.25895690917969,1.60055541992188,1.65840148925781,1.62947845458984,8.04806185241174,8.64030813665813,8.34155692053939
8,837.303500033333,3.21147155761719,3.31172180175781,3.2615966796875,1.60573577880859,1.65586090087891,1.63079833984375,8.10024288676127,8.61385537198288,8.35507579460333
9,837.3051667,3.2008056640625,3.30990600585938,3.25535583496094,1.60040283203125,1.65495300292969,1.62767791748047,8.04652741226758,8.60441211783344,8.3231326391284
10,837.306833366667,3.2008056640625,3.31172180175781,3.25626373291016,1.60040283203125,1.65586090087891,1.62813186645508,8.04652741226758,8.61385537198288,8.32777582357567
11,837.308500033333,3.2008056640625,3.31050109863281,3.25565338134766,1.60040283203125,1.65525054931641,1.62782669067383,8.04652741226758,8.60750639529394,8.32465421240518
12,837.3101667,3.21806335449219,3.32525634765625,3.27165985107422,1.60903167724609,1.66262817382813,1.63582992553711,8.13352977948825,8.68440649942909,8.40671201691068
13,837.311833366667,3.22421264648438,3.31895446777344,3.27158355712891,1.61210632324219,1.65947723388672,1.63579177856445,8.16464367034098,8.65152107841931,8.40631993840761
14,837.313500033333,3.22421264648438,3.32305908203125,3.27363586425781,1.61210632324219,1.66152954101563,1.63681793212891,8.16464367034098,8.67293331277053,8.41687003523292
