Segment Info
Segment Name,70
Recording Name,记录001
Subject Name,被试002
Start Time(s),173.2416077
End Time(s),175.7424476

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,13,0.151,0.002,0.042,0.0116153846153846
2,Blink,3,0.322,0.078,0.13,0.107333333333333
3,Fixation,11,1.46,0.061,0.238,0.132727272727273
4,Saccades,21,0.568,0.001,0.07,0.027047619047619

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,173.241,173.392,0.151
2,Saccades,173.392,173.438,0.046
3,Fixation,173.438,173.595,0.157
4,Saccades,173.595,173.65,0.055
5,Null,173.65,173.658,0.008
6,Saccades,173.658,173.675,0.017
7,Fixation,173.675,173.782,0.107
8,Saccades,173.782,173.81,0.028
9,Null,173.81,173.82,0.01
10,Blink,173.82,173.898,0.078
11,Null,173.898,173.908,0.01
12,Saccades,173.908,173.935,0.027
13,Fixation,173.935,174.173,0.238
14,Saccades,174.173,174.228,0.055
15,Null,174.228,174.238,0.01
16,Saccades,174.238,174.247,0.009
17,Fixation,174.247,174.422,0.175
18,Saccades,174.422,174.438,0.016
19,Null,174.438,174.448,0.01
20,Blink,174.448,174.562,0.114
21,Null,174.562,174.572,0.01
22,Saccades,174.572,174.608,0.036
23,Null,174.608,174.61,0.002
24,Saccades,174.61,174.63,0.02
25,Fixation,174.63,174.728,0.098
26,Saccades,174.728,174.748,0.02
27,Null,174.748,174.755,0.007
28,Saccades,174.755,174.803,0.048
29,Null,174.803,174.815,0.012
30,Saccades,174.815,174.82,0.005
31,Fixation,174.82,174.9,0.08
32,Saccades,174.9,174.92,0.02
33,Fixation,174.92,175.02,0.1
34,Saccades,175.02,175.078,0.058
35,Null,175.078,175.088,0.01
36,Saccades,175.088,175.092,0.004
37,Fixation,175.092,175.153,0.061
38,Saccades,175.153,175.16,0.007
39,Null,175.16,175.17,0.01
40,Blink,175.17,175.3,0.13
41,Null,175.3,175.31,0.01
42,Saccades,175.31,175.38,0.07
43,Null,175.38,175.422,0.042
44,Saccades,175.422,175.423,0.001
45,Fixation,175.423,175.5,0.077
46,Saccades,175.5,175.502,0.002
47,Fixation,175.502,175.718,0.216
48,Saccades,175.718,175.742,0.024
