Segment Info
Segment Name,79
Recording Name,记录001
Subject Name,被试001
Frequency(Hz),600
Start Time(s),198.3639097
End Time(s),200.8559478

Id,Time(s),X(%),Y(%),X(px),Y(px),Eye State Type,Velocity(degree/s)
1,198.3651573,63.0124777555466,18.460688740015,1209.83957290649,199.375438392162,眼跳,76.7999000999493
2,198.366823966667,63.0415976047516,17.6976755261421,1210.39867401123,191.134895682335,眼跳,70.6016316694364
3,198.368490633333,63.1477832794189,17.6920786499977,1212.43743896484,191.074449419975,眼跳,68.8716421858017
4,198.3701573,63.0415976047516,17.1253249049187,1210.39867401123,184.953508973122,眼跳,62.8117239747747
5,198.371823966667,63.1346613168716,16.7498245835304,1212.18549728394,180.898105502129,眼跳,63.004781028916
6,198.373490633333,63.1346613168716,16.5772818028927,1212.18549728394,179.034643471241,眼跳,59.0424703147787
7,198.3751573,63.3343786001205,16.1318846046925,1216.02006912231,174.224353730679,眼跳,58.369248628212
8,198.376823966667,63.3343786001205,15.7909326255322,1216.02006912231,170.542072355747,眼跳,58.6625563434371
9,198.378490633333,63.3343786001205,15.546627342701,1216.02006912231,167.90357530117,眼跳,69.9734646648636
10,198.3801573,63.5934591293335,15.2382083237171,1220.9944152832,164.572649896145,眼跳,63.9917154386168
11,198.381823966667,63.5934591293335,14.5728372037411,1220.9944152832,157.386641800404,眼跳,63.8928978157492
12,198.383490633333,63.7516975402832,14.5728372037411,1224.03259277344,157.386641800404,眼跳,71.2335877626422
13,198.3851573,63.7516975402832,14.4138865172863,1224.03259277344,155.669974386692,眼跳,62.1713876751767
14,198.386823966667,63.8355612754822,13.6491879820824,1225.64277648926,147.41123020649,眼跳,59.6556557371355
15,198.388490633333,64.1948878765106,12.9141598939896,1232.541847229,139.472926855087,眼跳,58.7605968704144
16,198.3901573,64.1948878765106,12.8929372876883,1232.541847229,139.243722707033,眼跳,53.6204910561482
17,198.391823966667,64.1948878765106,12.4489262700081,1232.541847229,134.448403716087,眼跳,46.4510874398821
18,198.393490633333,64.4333273172379,11.8644744157791,1237.11988449097,128.136323690414,眼跳,52.297500608436
19,198.3951573,64.1262799501419,11.7923475801945,1231.22457504272,127.3573538661,眼跳,51.54107138192
20,198.396823966667,64.0962183475494,11.6253584623337,1230.64739227295,125.553871393204,眼跳,43.1986503720249
21,198.398490633333,63.8913482427597,11.3593365997076,1226.71388626099,122.680835276842,眼跳,41.0181407588047
22,198.4001573,63.8759911060333,11.3593365997076,1226.41902923584,122.680835276842,眼跳,43.6304625251841
23,198.401823966667,63.8759911060333,11.2157456576824,1226.41902923584,121.13005310297,眼跳,42.2759214960924
24,198.403490633333,63.7465417385101,10.776324942708,1223.93360137939,116.384309381247,眼跳,42.1767030369371
25,198.4051573,63.716784119606,10.6743030250072,1223.36225509644,115.282472670078,眼跳,34.872748164321
26,198.406823966667,63.4082078933716,10.6414847075939,1217.43759155273,114.928034842014,眼跳,38.7691447740416
27,198.408490633333,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,29.7109251001108
28,198.4101573,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,29.6323849801358
29,198.411823966667,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,26.8390539977325
30,198.413490633333,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,23.0101765180482
31,198.4151573,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,21.787004506383
32,198.416823966667,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,13.7825682914513
33,198.418490633333,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,10.7295121543592
34,198.4201573,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,4.73937552847032
35,198.421823966667,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,1.99363675646021
36,198.423490633333,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,2.39766124566481
37,198.4251573,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,1.8609703177964
38,198.426823966667,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,8.2689306140171
39,198.428490633333,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,6.5558148915426
40,198.4301573,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,5.80162863313549
41,198.431823966667,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,4.89567379805042
42,198.433490633333,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,1.2576126146626
43,198.4351573,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,2.89949698684553
44,198.436823966667,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,0.757178203531348
45,198.438490633333,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,4.17618880648625
46,198.4401573,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,1.59521123459594
47,198.441823966667,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,3.66465727636511
48,198.443490633333,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,3.2712472407295
49,198.4451573,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,3.06329678542021
50,198.446823966667,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,3.26500192094359
51,198.448490633333,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,2.39374001187859
52,198.4501573,62.8974616527557,10.7869367884553,1207.63126373291,116.498917315317,注视,4.24721269125656
