Segment Info
Segment Name,162
Recording Name,记录001
Subject Name,被试002
Start Time(s),404.0706602
End Time(s),406.5793199

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,39,0.359,0.001,0.057,0.00920512820512821
2,Fixation,6,1.097,0.097,0.259,0.182833333333333
3,Saccades,46,1.053,0.001,0.202,0.0228913043478261

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Saccades,404.07,404.087,0.017
2,Fixation,404.087,404.322,0.235
3,Saccades,404.322,404.37,0.048
4,Fixation,404.37,404.543,0.173
5,Saccades,404.543,404.593,0.05
6,Fixation,404.593,404.852,0.259
7,Saccades,404.852,404.885,0.033
8,Fixation,404.885,405.103,0.218
9,Saccades,405.103,405.12,0.017
10,Null,405.12,405.135,0.015
11,Saccades,405.135,405.315,0.18
12,Null,405.315,405.327,0.012
13,Saccades,405.327,405.338,0.011
14,Null,405.338,405.343,0.005
15,Saccades,405.343,405.348,0.005
16,Null,405.348,405.35,0.002
17,Saccades,405.35,405.552,0.202
18,Null,405.552,405.553,0.001
19,Saccades,405.553,405.557,0.004
20,Null,405.557,405.56,0.003
21,Saccades,405.56,405.595,0.035
22,Null,405.595,405.602,0.007
23,Saccades,405.602,405.617,0.015
24,Null,405.617,405.647,0.03
25,Saccades,405.647,405.648,0.001
26,Null,405.648,405.65,0.002
27,Saccades,405.65,405.672,0.022
28,Null,405.672,405.683,0.011
29,Saccades,405.683,405.703,0.02
30,Null,405.703,405.707,0.004
31,Saccades,405.707,405.708,0.001
32,Null,405.708,405.71,0.002
33,Saccades,405.71,405.72,0.01
34,Null,405.72,405.727,0.007
35,Saccades,405.727,405.728,0.001
36,Null,405.728,405.73,0.002
37,Saccades,405.73,405.742,0.012
38,Null,405.742,405.747,0.005
39,Saccades,405.747,405.765,0.018
40,Null,405.765,405.767,0.002
41,Saccades,405.767,405.795,0.028
42,Null,405.795,405.797,0.002
43,Saccades,405.797,405.798,0.001
44,Null,405.798,405.802,0.004
45,Saccades,405.802,405.805,0.003
46,Null,405.805,405.807,0.002
47,Saccades,405.807,405.815,0.008
48,Null,405.815,405.817,0.002
49,Saccades,405.817,405.833,0.016
50,Null,405.833,405.835,0.002
51,Saccades,405.835,405.837,0.002
52,Null,405.837,405.875,0.038
53,Saccades,405.875,405.925,0.05
54,Null,405.925,405.927,0.002
55,Saccades,405.927,405.935,0.008
56,Null,405.935,405.937,0.002
57,Saccades,405.937,405.938,0.001
58,Null,405.938,405.965,0.027
59,Saccades,405.965,405.968,0.003
60,Null,405.968,405.973,0.005
61,Saccades,405.973,405.977,0.004
62,Null,405.977,405.982,0.005
63,Saccades,405.982,405.985,0.003
64,Null,405.985,406,0.015
65,Saccades,406,406.005,0.005
66,Null,406.005,406.062,0.057
67,Saccades,406.062,406.063,0.001
68,Null,406.063,406.067,0.004
69,Saccades,406.067,406.068,0.001
70,Null,406.068,406.09,0.022
71,Saccades,406.09,406.123,0.033
72,Null,406.123,406.127,0.004
73,Saccades,406.127,406.132,0.005
74,Fixation,406.132,406.247,0.115
75,Saccades,406.247,406.257,0.01
76,Null,406.257,406.258,0.001
77,Saccades,406.258,406.292,0.034
78,Null,406.292,406.318,0.026
79,Saccades,406.318,406.328,0.01
80,Null,406.328,406.33,0.002
81,Saccades,406.33,406.36,0.03
82,Null,406.36,406.365,0.005
83,Saccades,406.365,406.372,0.007
84,Null,406.372,406.378,0.006
85,Saccades,406.378,406.435,0.057
86,Null,406.435,406.443,0.008
87,Saccades,406.443,406.455,0.012
88,Null,406.455,406.463,0.008
89,Saccades,406.463,406.47,0.007
90,Fixation,406.47,406.567,0.097
91,Saccades,406.567,406.579,0.012
