Segment Info
Segment Name,86
Recording Name,记录002
Subject Name,被试002
Start Time(s),215.7743342
End Time(s),218.2830794

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,8,0.11,0.001,0.049,0.01375
2,Fixation,8,1.834,0.091,0.463,0.22925
3,Saccades,15,0.565,0.002,0.074,0.0376666666666667

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,215.774,216.168,0.394
2,Saccades,216.168,216.216,0.048
3,Null,216.216,216.265,0.049
4,Saccades,216.265,216.323,0.058
5,Null,216.323,216.33,0.007
6,Saccades,216.33,216.341,0.011
7,Fixation,216.341,216.435,0.094
8,Saccades,216.435,216.501,0.066
9,Null,216.501,216.506,0.005
10,Saccades,216.506,216.523,0.017
11,Null,216.523,216.541,0.018
12,Saccades,216.541,216.543,0.002
13,Fixation,216.543,217.006,0.463
14,Saccades,217.006,217.056,0.05
15,Fixation,217.056,217.353,0.297
16,Saccades,217.353,217.416,0.063
17,Null,217.416,217.438,0.022
18,Saccades,217.438,217.443,0.005
19,Fixation,217.443,217.535,0.092
20,Saccades,217.535,217.598,0.063
21,Null,217.598,217.603,0.005
22,Saccades,217.603,217.625,0.022
23,Fixation,217.625,217.716,0.091
24,Saccades,217.716,217.79,0.074
25,Null,217.79,217.793,0.003
26,Saccades,217.793,217.82,0.027
27,Null,217.82,217.821,0.001
28,Saccades,217.821,217.826,0.005
29,Fixation,217.826,218.051,0.225
30,Saccades,218.051,218.105,0.054
31,Fixation,218.105,218.283,0.178
