Segment Info
Segment Name,90
Recording Name,记录002
Subject Name,被试002
Start Time(s),225.819709
End Time(s),228.3052603

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,4,0.061,0.01,0.025,0.01525
2,Fixation,9,2.021,0.117,0.338,0.224555555555556
3,Saccades,12,0.404,0.001,0.062,0.0336666666666667

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,225.819,225.97,0.151
2,Saccades,225.97,226.01,0.04
3,Fixation,226.01,226.285,0.275
4,Saccades,226.285,226.336,0.051
5,Null,226.336,226.348,0.012
6,Saccades,226.348,226.36,0.012
7,Fixation,226.36,226.656,0.296
8,Saccades,226.656,226.696,0.04
9,Fixation,226.696,226.813,0.117
10,Saccades,226.813,226.871,0.058
11,Null,226.871,226.885,0.014
12,Saccades,226.885,226.886,0.001
13,Fixation,226.886,227.12,0.234
14,Saccades,227.12,227.178,0.058
15,Null,227.178,227.188,0.01
16,Saccades,227.188,227.193,0.005
17,Fixation,227.193,227.461,0.268
18,Saccades,227.461,227.508,0.047
19,Fixation,227.508,227.846,0.338
20,Saccades,227.846,227.873,0.027
21,Fixation,227.873,228.006,0.133
22,Saccades,228.006,228.068,0.062
23,Null,228.068,228.093,0.025
24,Saccades,228.093,228.096,0.003
25,Fixation,228.096,228.305,0.209
