Segment Info
Segment Name,176
Recording Name,记录002
Subject Name,被试002
Start Time(s),442.4559181
End Time(s),444.9469956

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,10,0.098,0.001,0.027,0.0098
2,Blink,1,0.088,0.088,0.088,0.088
3,Fixation,9,1.774,0.065,0.394,0.197111111111111
4,Saccades,17,0.531,0.002,0.102,0.0312352941176471

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,442.455,442.849,0.394
2,Saccades,442.849,442.95,0.101
3,Null,442.95,442.965,0.015
4,Saccades,442.965,442.967,0.002
5,Fixation,442.967,443.032,0.065
6,Saccades,443.032,443.08,0.048
7,Fixation,443.08,443.242,0.162
8,Saccades,443.242,443.285,0.043
9,Fixation,443.285,443.46,0.175
10,Saccades,443.46,443.562,0.102
11,Null,443.562,443.564,0.002
12,Saccades,443.564,443.602,0.038
13,Null,443.602,443.605,0.003
14,Saccades,443.605,443.625,0.02
15,Fixation,443.625,443.732,0.107
16,Saccades,443.732,443.734,0.002
17,Null,443.734,443.735,0.001
18,Saccades,443.735,443.737,0.002
19,Null,443.737,443.74,0.003
20,Saccades,443.74,443.747,0.007
21,Null,443.747,443.757,0.01
22,Blink,443.757,443.845,0.088
23,Null,443.845,443.855,0.01
24,Saccades,443.855,443.869,0.014
25,Null,443.869,443.884,0.015
26,Saccades,443.884,443.892,0.008
27,Null,443.892,443.919,0.027
28,Saccades,443.919,443.922,0.003
29,Fixation,443.922,444.107,0.185
30,Saccades,444.107,444.149,0.042
31,Fixation,444.149,444.409,0.26
32,Saccades,444.409,444.47,0.061
33,Null,444.47,444.482,0.012
34,Saccades,444.482,444.484,0.002
35,Fixation,444.484,444.689,0.205
36,Saccades,444.689,444.725,0.036
37,Fixation,444.725,444.946,0.221
