Segment Info
Segment Name,35
Recording Name,记录002
Subject Name,被试002
Start Time(s),87.8045938
End Time(s),90.3071169

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,3,0.037,0.005,0.023,0.0123333333333333
2,Fixation,10,1.922,0.093,0.37,0.1922
3,Saccades,12,0.544,0.002,0.077,0.0453333333333333

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,87.804,88.046,0.242
2,Saccades,88.046,88.108,0.062
3,Null,88.108,88.131,0.023
4,Saccades,88.131,88.133,0.002
5,Fixation,88.133,88.271,0.138
6,Saccades,88.271,88.32,0.049
7,Fixation,88.32,88.538,0.218
8,Saccades,88.538,88.596,0.058
9,Null,88.596,88.605,0.009
10,Saccades,88.605,88.613,0.008
11,Fixation,88.613,88.983,0.37
12,Saccades,88.983,89.06,0.077
13,Fixation,89.06,89.223,0.163
14,Saccades,89.223,89.271,0.048
15,Fixation,89.271,89.375,0.104
16,Saccades,89.375,89.431,0.056
17,Fixation,89.431,89.641,0.21
18,Saccades,89.641,89.68,0.039
19,Fixation,89.68,89.773,0.093
20,Saccades,89.773,89.845,0.072
21,Null,89.845,89.85,0.005
22,Saccades,89.85,89.866,0.016
23,Fixation,89.866,90.146,0.28
24,Saccades,90.146,90.203,0.057
25,Fixation,90.203,90.307,0.104
