Data Info
Recording,记录002
Subject,被试002
Frequency(Hz),600
Duration(s),2.4943209
Resolution(px),1920,1080
Create Date,2025-01-03 13:37:35.796

Pupils Process Parameters
Interpolation
Method,Linear
Min pupil diameter (mm),2
Noise Reduction
Method,Enabled,滑动中值滤波
Window size (samples),Enabled,3

Pupil Data
Id,Time(s),LeftPupilDiameter(mm),RightPupilDiameter(mm),AveragePupilDiameter(mm),LeftPupilRadius(mm),RightPupilRadius(mm),AveragePupilRadius(mm),LeftPupilArea(mm²),RightPupilArea(mm²),AveragePupilArea(mm²)
1,304.211865766667,3.21353149414063,3.17996215820313,3.19674682617188,1.60676574707031,1.58998107910156,1.59837341308594,8.11063770877591,7.94207136388246,8.02613326996969
2,304.213532433333,3.21353149414063,3.15913391113281,3.18633270263672,1.60676574707031,1.57956695556641,1.59316635131836,8.11063770877591,7.83837347004895,7.97392457206787
3,304.2151991,3.21839904785156,3.17996215820313,3.19918060302734,1.60919952392578,1.58998107910156,1.59959030151367,8.13522677177479,7.94207136388246,8.03835898209968
4,304.216865766667,3.22235107421875,3.17274475097656,3.19754791259766,1.61117553710938,1.58637237548828,1.59877395629883,8.15521830786251,7.9060608009494,8.03015637994837
5,304.218532433333,3.22235107421875,3.181884765625,3.20211791992188,1.61117553710938,1.5909423828125,1.60105895996094,8.15521830786251,7.95167783123039,8.05312654282786
6,304.2201991,3.21833801269531,3.181884765625,3.20011138916016,1.60916900634766,1.5909423828125,1.60005569458008,8.13491821455643,7.95167783123039,8.04303710592231
7,304.221865766667,3.21833801269531,3.22041320800781,3.21937561035156,1.60916900634766,1.61020660400391,1.60968780517578,8.13491821455643,8.14541244276887,8.140164483096
8,304.223532433333,3.21833801269531,3.22041320800781,3.21937561035156,1.60916900634766,1.61020660400391,1.60968780517578,8.13491821455643,8.14541244276887,8.140164483096
9,304.2251991,3.20986938476563,3.20751953125,3.20869445800781,1.60493469238281,1.603759765625,1.60434722900391,8.09216263338629,8.08031888884679,8.08623967691138
10,304.226865766667,3.20986938476563,3.20570373535156,3.20778656005859,1.60493469238281,1.60285186767578,1.6038932800293,8.09216263338629,8.07117284515736,8.0816643320899
11,304.228532433333,3.249267578125,3.17022705078125,3.20974731445313,1.6246337890625,1.58511352539063,1.60487365722656,8.29202944403548,7.8935182268437,8.09154716034365
12,304.2301991,3.249267578125,3.20570373535156,3.22748565673828,1.6246337890625,1.60285186767578,1.61374282836914,8.29202944403548,8.07117284515736,8.18122851078901
13,304.231865766667,3.2481689453125,3.20539855957031,3.22678375244141,1.62408447265625,1.60269927978516,1.6133918762207,8.28642303871191,8.06963620332149,8.17767043764384
14,304.233532433333,3.23182678222656,3.20539855957031,3.21861267089844,1.61591339111328,1.60269927978516,1.60930633544922,8.20325161396823,8.06963620332149,8.13630676812097
15,304.2351991,3.23182678222656,3.19956970214844,3.2156982421875,1.61591339111328,1.59978485107422,1.60784912109375,8.20325161396823,8.04031442570032,8.12157871436413
16,304.236865766667,3.23544311523438,3.19956970214844,3.21750640869141,1.61772155761719,1.59978485107422,1.6087532043457,8.22162035039126,8.04031442570032,8.13071470547483
17,304.238532433333,3.24313354492188,3.16169738769531,3.20241546630859,1.62156677246094,1.58084869384766,1.6012077331543,8.26075127315126,7.85109951437978,8.05462323351389
18,304.2401991,3.24313354492188,3.19161987304688,3.21737670898438,1.62156677246094,1.59580993652344,1.60868835449219,8.26075127315126,8.00040923654045,8.1300592102394
19,304.241865766667,3.20463562011719,3.19161987304688,3.19812774658203,1.60231781005859,1.59580993652344,1.59906387329102,8.06579523875847,8.00040923654045,8.03306897413818
20,304.243532433333,3.20025634765625,3.19161987304688,3.19593811035156,1.60012817382813,1.59580993652344,1.59796905517578,8.04376578866344,8.00040923654045,8.02207286714619
21,304.2451991,3.20463562011719,3.14828491210938,3.17646026611328,1.60231781005859,1.57414245605469,1.58823013305664,8.06579523875847,7.78462931724069,7.92458878921734
22,304.246865766667,3.20025634765625,3.14828491210938,3.17427062988281,1.60012817382813,1.57414245605469,1.58713531494141,8.04376578866344,7.78462931724069,7.9136672069296
23,304.248532433333,3.22831726074219,3.18194580078125,3.20513153076172,1.61415863037109,1.59097290039063,1.60256576538086,8.18544505556788,7.95198289353745,8.0682917617201
24,304.2501991,3.22831726074219,3.19241333007813,3.21036529541016,1.61415863037109,1.59620666503906,1.60518264770508,8.18544505556788,8.00438763640534,8.09466323331774
25,304.251865766667,3.23429870605469,3.21174621582031,3.2230224609375,1.61714935302734,1.60587310791016,1.61151123046875,8.21580523731132,8.10162847791671,8.15861699132846
26,304.253532433333,3.23429870605469,3.21174621582031,3.2230224609375,1.61714935302734,1.60587310791016,1.61151123046875,8.21580523731132,8.10162847791671,8.15861699132846
27,304.2551991,3.23841857910156,3.21247863769531,3.22544860839844,1.61920928955078,1.60623931884766,1.61272430419922,8.23674927222872,8.10532396698009,8.17090449981537
28,304.256865766667,3.236328125,3.16416931152344,3.20024871826172,1.6181640625,1.58208465576172,1.60012435913086,8.22611878179184,7.86338083307742,8.04372743611733
29,304.258532433333,3.236328125,3.15985107421875,3.19808959960938,1.6181640625,1.57992553710938,1.59904479980469,8.22611878179184,7.84193269249914,8.03287733987013
30,304.2601991,3.20083618164063,3.15985107421875,3.18034362792969,1.60041809082031,1.57992553710938,1.59017181396484,8.04668084969887,7.84193269249914,7.94397694725766
31,304.261865766667,3.20083618164063,3.22280883789063,3.21182250976563,1.60041809082031,1.61140441894531,1.60591125488281,8.04668084969887,8.15753551524065,8.10201338537822
