Segment Info
Segment Name,84
Recording Name,记录001
Subject Name,被试002
Start Time(s),208.3696694
End Time(s),210.8702256

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,18,0.124,0.001,0.023,0.00688888888888889
2,Fixation,8,1.719,0.088,0.332,0.214875
3,Saccades,25,0.658,0.002,0.118,0.02632

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,208.369,208.587,0.218
2,Saccades,208.587,208.637,0.05
3,Null,208.637,208.66,0.023
4,Saccades,208.66,208.663,0.003
5,Fixation,208.663,208.79,0.127
6,Saccades,208.79,208.847,0.057
7,Null,208.847,208.852,0.005
8,Saccades,208.852,208.863,0.011
9,Null,208.863,208.865,0.002
10,Saccades,208.865,208.867,0.002
11,Fixation,208.867,209.12,0.253
12,Saccades,209.12,209.17,0.05
13,Null,209.17,209.178,0.008
14,Saccades,209.178,209.183,0.005
15,Fixation,209.183,209.498,0.315
16,Saccades,209.498,209.54,0.042
17,Fixation,209.54,209.872,0.332
18,Saccades,209.872,209.892,0.02
19,Fixation,209.892,209.98,0.088
20,Saccades,209.98,209.988,0.008
21,Null,209.988,210,0.012
22,Saccades,210,210.002,0.002
23,Null,210.002,210.005,0.003
24,Saccades,210.005,210.123,0.118
25,Null,210.123,210.127,0.004
26,Saccades,210.127,210.147,0.02
27,Null,210.147,210.15,0.003
28,Saccades,210.15,210.187,0.037
29,Null,210.187,210.198,0.011
30,Saccades,210.198,210.208,0.01
31,Null,210.208,210.21,0.002
32,Saccades,210.21,210.217,0.007
33,Null,210.217,210.218,0.001
34,Saccades,210.218,210.227,0.009
35,Null,210.227,210.237,0.01
36,Saccades,210.237,210.247,0.01
37,Null,210.247,210.258,0.011
38,Saccades,210.258,210.268,0.01
39,Null,210.268,210.27,0.002
40,Saccades,210.27,210.303,0.033
41,Null,210.303,210.308,0.005
42,Saccades,210.308,210.338,0.03
43,Null,210.338,210.345,0.007
44,Saccades,210.345,210.35,0.005
45,Null,210.35,210.36,0.01
46,Saccades,210.36,210.368,0.008
47,Fixation,210.368,210.567,0.199
48,Saccades,210.567,210.64,0.073
49,Null,210.64,210.645,0.005
50,Saccades,210.645,210.683,0.038
51,Fixation,210.683,210.87,0.187
