Segment Info
Segment Name,119
Recording Name,记录001
Subject Name,被试001
Start Time(s),298.6949664
End Time(s),301.1906218

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,7,0.123,0.005,0.058,0.0175714285714286
2,Blink,1,0.145,0.145,0.145,0.145
3,Fixation,11,1.712,0.064,0.276,0.155636363636364
4,Saccades,16,0.516,0.005,0.065,0.03225

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,298.694,298.77,0.076
2,Saccades,298.77,298.81,0.04
3,Null,298.81,298.815,0.005
4,Saccades,298.815,298.822,0.007
5,Null,298.822,298.837,0.015
6,Saccades,298.837,298.842,0.005
7,Null,298.842,298.855,0.013
8,Saccades,298.855,298.895,0.04
9,Fixation,298.895,298.959,0.064
10,Saccades,298.959,298.967,0.008
11,Null,298.967,298.979,0.012
12,Saccades,298.979,298.987,0.008
13,Null,298.987,299.045,0.058
14,Saccades,299.045,299.054,0.009
15,Null,299.054,299.064,0.01
16,Blink,299.064,299.209,0.145
17,Null,299.209,299.219,0.01
18,Saccades,299.219,299.242,0.023
19,Fixation,299.242,299.322,0.08
20,Saccades,299.322,299.364,0.042
21,Fixation,299.364,299.505,0.141
22,Saccades,299.505,299.534,0.029
23,Fixation,299.534,299.767,0.233
24,Saccades,299.767,299.81,0.043
25,Fixation,299.81,299.947,0.137
26,Saccades,299.947,300.004,0.057
27,Fixation,300.004,300.192,0.188
28,Saccades,300.192,300.25,0.058
29,Fixation,300.25,300.457,0.207
30,Saccades,300.457,300.522,0.065
31,Fixation,300.522,300.71,0.188
32,Saccades,300.71,300.77,0.06
33,Fixation,300.77,300.892,0.122
34,Saccades,300.892,300.914,0.022
35,Fixation,300.914,301.19,0.276
