Segment Info
Segment Name,205
Recording Name,记录002
Subject Name,被试002
Start Time(s),515.3660243
End Time(s),517.8684866

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,3,0.042,0.001,0.037,0.014
2,Fixation,9,2.016,0.082,0.55,0.224
3,Saccades,12,0.444,0.001,0.061,0.037

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,515.366,515.695,0.329
2,Saccades,515.695,515.744,0.049
3,Fixation,515.744,515.935,0.191
4,Saccades,515.935,515.972,0.037
5,Fixation,515.972,516.522,0.55
6,Saccades,516.522,516.527,0.005
7,Fixation,516.527,516.685,0.158
8,Saccades,516.685,516.74,0.055
9,Fixation,516.74,516.915,0.175
10,Saccades,516.915,516.957,0.042
11,Fixation,516.957,517.039,0.082
12,Saccades,517.039,517.09,0.051
13,Fixation,517.09,517.237,0.147
14,Saccades,517.237,517.289,0.052
15,Null,517.289,517.29,0.001
16,Saccades,517.29,517.347,0.057
17,Null,517.347,517.384,0.037
18,Saccades,517.384,517.385,0.001
19,Fixation,517.385,517.539,0.154
20,Saccades,517.539,517.569,0.03
21,Fixation,517.569,517.799,0.23
22,Saccades,517.799,517.86,0.061
23,Null,517.86,517.864,0.004
24,Saccades,517.864,517.868,0.004
