Segment Info
Segment Name,68
Recording Name,记录001
Subject Name,被试001
Start Time(s),170.7398006
End Time(s),173.2405452

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,1,0.007,0.007,0.007,0.007
2,Fixation,12,1.991,0.045,0.326,0.165916666666667
3,Saccades,12,0.503,0.01,0.1,0.0419166666666667

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,170.739,170.784,0.045
2,Saccades,170.784,170.809,0.025
3,Fixation,170.809,170.914,0.105
4,Saccades,170.914,170.949,0.035
5,Fixation,170.949,171.029,0.08
6,Saccades,171.029,171.072,0.043
7,Fixation,171.072,171.262,0.19
8,Saccades,171.262,171.29,0.028
9,Fixation,171.29,171.45,0.16
10,Saccades,171.45,171.509,0.059
11,Fixation,171.509,171.729,0.22
12,Saccades,171.729,171.774,0.045
13,Fixation,171.774,171.942,0.168
14,Saccades,171.942,171.989,0.047
15,Fixation,171.989,172.315,0.326
16,Saccades,172.315,172.374,0.059
17,Fixation,172.374,172.672,0.298
18,Saccades,172.672,172.772,0.1
19,Fixation,172.772,172.907,0.135
20,Saccades,172.907,172.939,0.032
21,Fixation,172.939,173.105,0.166
22,Saccades,173.105,173.125,0.02
23,Null,173.125,173.132,0.007
24,Saccades,173.132,173.142,0.01
25,Fixation,173.142,173.24,0.098
