Segment Info
Segment Name,183
Recording Name,记录002
Subject Name,被试002
Start Time(s),460.0512163
End Time(s),462.5385018

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,11,0.11,0.001,0.038,0.01
2,Blink,1,0.213,0.213,0.213,0.213
3,Fixation,9,1.658,0.08,0.353,0.184222222222222
4,Saccades,18,0.506,0.002,0.073,0.0281111111111111

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Saccades,460.051,460.124,0.073
2,Null,460.124,460.125,0.001
3,Saccades,460.125,460.195,0.07
4,Null,460.195,460.197,0.002
5,Saccades,460.197,460.204,0.007
6,Null,460.204,460.207,0.003
7,Saccades,460.207,460.209,0.002
8,Null,460.209,460.21,0.001
9,Saccades,460.21,460.22,0.01
10,Null,460.22,460.225,0.005
11,Saccades,460.225,460.235,0.01
12,Fixation,460.235,460.329,0.094
13,Saccades,460.329,460.334,0.005
14,Null,460.334,460.372,0.038
15,Saccades,460.372,460.429,0.057
16,Fixation,460.429,460.584,0.155
17,Saccades,460.584,460.62,0.036
18,Fixation,460.62,460.832,0.212
19,Null,460.832,460.842,0.01
20,Blink,460.842,461.055,0.213
21,Null,461.055,461.065,0.01
22,Saccades,461.065,461.067,0.002
23,Null,461.067,461.069,0.002
24,Saccades,461.069,461.097,0.028
25,Fixation,461.097,461.177,0.08
26,Saccades,461.177,461.205,0.028
27,Fixation,461.205,461.505,0.3
28,Saccades,461.505,461.555,0.05
29,Fixation,461.555,461.724,0.169
30,Saccades,461.724,461.737,0.013
31,Fixation,461.737,461.884,0.147
32,Saccades,461.884,461.927,0.043
33,Fixation,461.927,462.075,0.148
34,Saccades,462.075,462.132,0.057
35,Null,462.132,462.15,0.018
36,Saccades,462.15,462.162,0.012
37,Null,462.162,462.182,0.02
38,Saccades,462.182,462.185,0.003
39,Fixation,462.185,462.538,0.353
