Segment Info
Segment Name,23
Recording Name,记录002
Subject Name,被试002
Start Time(s),57.7982089
End Time(s),60.3024323

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,6,0.081,0.005,0.035,0.0135
2,Fixation,9,1.869,0.123,0.37,0.207666666666667
3,Saccades,15,0.554,0.001,0.062,0.0369333333333333

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Saccades,57.798,57.849,0.051
2,Null,57.849,57.857,0.008
3,Saccades,57.857,57.869,0.012
4,Fixation,57.869,57.992,0.123
5,Saccades,57.992,58.047,0.055
6,Fixation,58.047,58.264,0.217
7,Saccades,58.264,58.325,0.061
8,Null,58.325,58.334,0.009
9,Saccades,58.334,58.337,0.003
10,Fixation,58.337,58.61,0.273
11,Saccades,58.61,58.655,0.045
12,Fixation,58.655,59.025,0.37
13,Saccades,59.025,59.087,0.062
14,Null,59.087,59.122,0.035
15,Saccades,59.122,59.129,0.007
16,Fixation,59.129,59.335,0.206
17,Saccades,59.335,59.395,0.06
18,Null,59.395,59.409,0.014
19,Saccades,59.409,59.41,0.001
20,Fixation,59.41,59.565,0.155
21,Saccades,59.565,59.625,0.06
22,Null,59.625,59.63,0.005
23,Saccades,59.63,59.649,0.019
24,Fixation,59.649,59.84,0.191
25,Saccades,59.84,59.89,0.05
26,Fixation,59.89,60.092,0.202
27,Saccades,60.092,60.145,0.053
28,Null,60.145,60.155,0.01
29,Saccades,60.155,60.17,0.015
30,Fixation,60.17,60.302,0.132
