Segment Info
Segment Name,324
Recording Name,记录002
Subject Name,被试002
Start Time(s),814.6679949
End Time(s),817.1651592

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,15,0.155,0.001,0.03,0.0103333333333333
2,Fixation,5,2.105,0.103,0.864,0.421
3,Saccades,19,0.238,0.001,0.063,0.0125263157894737

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,814.667,814.947,0.28
2,Saccades,814.947,814.989,0.042
3,Fixation,814.989,815.655,0.666
4,Saccades,815.655,815.675,0.02
5,Fixation,815.675,815.867,0.192
6,Saccades,815.867,815.93,0.063
7,Null,815.93,815.949,0.019
8,Saccades,815.949,815.95,0.001
9,Fixation,815.95,816.814,0.864
10,Saccades,816.814,816.867,0.053
11,Null,816.867,816.894,0.027
12,Saccades,816.894,816.899,0.005
13,Null,816.899,816.925,0.026
14,Saccades,816.925,816.929,0.004
15,Null,816.929,816.935,0.006
16,Saccades,816.935,816.945,0.01
17,Null,816.945,816.964,0.019
18,Saccades,816.964,816.965,0.001
19,Null,816.965,816.967,0.002
20,Saccades,816.967,816.97,0.003
21,Null,816.97,817,0.03
22,Saccades,817,817.012,0.012
23,Fixation,817.012,817.115,0.103
24,Saccades,817.115,817.117,0.002
25,Null,817.117,817.124,0.007
26,Saccades,817.124,817.127,0.003
27,Null,817.127,817.13,0.003
28,Saccades,817.13,817.137,0.007
29,Null,817.137,817.14,0.003
30,Saccades,817.14,817.144,0.004
31,Null,817.144,817.147,0.003
32,Saccades,817.147,817.149,0.002
33,Null,817.149,817.152,0.003
34,Saccades,817.152,817.154,0.002
35,Null,817.154,817.157,0.003
36,Saccades,817.157,817.159,0.002
37,Null,817.159,817.162,0.003
38,Saccades,817.162,817.164,0.002
39,Null,817.164,817.165,0.001
