Segment Info
Segment Name,36
Recording Name,记录002
Subject Name,被试002
Start Time(s),90.3201843
End Time(s),92.8082864

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,7,0.166,0.001,0.051,0.0237142857142857
2,Fixation,8,1.768,0.065,0.433,0.221
3,Saccades,14,0.554,0.002,0.11,0.0395714285714286

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,90.32,90.546,0.226
2,Saccades,90.546,90.593,0.047
3,Fixation,90.593,91.026,0.433
4,Saccades,91.026,91.063,0.037
5,Fixation,91.063,91.286,0.223
6,Saccades,91.286,91.36,0.074
7,Null,91.36,91.39,0.03
8,Saccades,91.39,91.393,0.003
9,Fixation,91.393,91.701,0.308
10,Saccades,91.701,91.771,0.07
11,Null,91.771,91.803,0.032
12,Saccades,91.803,91.805,0.002
13,Fixation,91.805,91.87,0.065
14,Saccades,91.87,91.93,0.06
15,Null,91.93,91.981,0.051
16,Saccades,91.981,91.983,0.002
17,Fixation,91.983,92.208,0.225
18,Saccades,92.208,92.248,0.04
19,Fixation,92.248,92.446,0.198
20,Saccades,92.446,92.491,0.045
21,Null,92.491,92.533,0.042
22,Saccades,92.533,92.643,0.11
23,Null,92.643,92.651,0.008
24,Saccades,92.651,92.66,0.009
25,Null,92.66,92.661,0.001
26,Saccades,92.661,92.673,0.012
27,Null,92.673,92.675,0.002
28,Saccades,92.675,92.718,0.043
29,Fixation,92.718,92.808,0.09
