Data Info
Recording,记录001
Subject,被试001
Frequency(Hz),600
Duration(s),2.5011192
Resolution(px),1920,1080
Create Date,2025-01-03 12:15:05.691

Pupils Process Parameters
Interpolation
Method,Linear
Min pupil diameter (mm),2
Noise Reduction
Method,Enabled,滑动中值滤波
Window size (samples),Enabled,3

Pupil Data
Id,Time(s),LeftPupilDiameter(mm),RightPupilDiameter(mm),AveragePupilDiameter(mm),LeftPupilRadius(mm),RightPupilRadius(mm),AveragePupilRadius(mm),LeftPupilArea(mm²),RightPupilArea(mm²),AveragePupilArea(mm²)
1,123.036828966667,2.84941101074219,2.72378540039063,2.78659820556641,1.42470550537109,1.36189270019531,1.3932991027832,6.37676008549327,5.82687439929011,6.09871849439069
2,123.038495633333,2.85968017578125,2.72613525390625,2.79290771484375,1.42984008789063,1.36306762695313,1.39645385742188,6.42280609455723,5.83693261281508,6.12636760764152
3,123.0401623,2.85968017578125,2.71916198730469,2.78942108154297,1.42984008789063,1.35958099365234,1.39471054077148,6.42280609455723,5.80710985908054,6.11108098419515
4,123.041828966667,2.86650085449219,2.728271484375,2.79738616943359,1.43325042724609,1.3641357421875,1.3986930847168,6.4534809516253,5.84608397000584,6.14603073969561
5,123.043495633333,2.86650085449219,2.72232055664063,2.79441070556641,1.43325042724609,1.36116027832031,1.3972053527832,6.4534809516253,5.82060873285996,6.13296313617747
6,123.0451623,2.85720825195313,2.72232055664063,2.78976440429688,1.42860412597656,1.36116027832031,1.39488220214844,6.41170707333559,5.82060873285996,6.1125853840023
7,123.046828966667,2.85720825195313,2.72225952148438,2.78973388671875,1.42860412597656,1.36112976074219,1.39486694335938,6.41170707333559,5.82034773657127,6.11245165207754
8,123.048495633333,2.86674499511719,2.72225952148438,2.79450225830078,1.43337249755859,1.36112976074219,1.39725112915039,6.45458028774849,5.82034773657127,6.13336500891708
9,123.0501623,2.86674499511719,2.72476196289063,2.79575347900391,1.43337249755859,1.36238098144531,1.39787673950195,6.45458028774849,5.83105338277869,6.1388585892439
10,123.051828966667,2.86674499511719,2.72476196289063,2.79575347900391,1.43337249755859,1.36238098144531,1.39787673950195,6.45458028774849,5.83105338277869,6.1388585892439
11,123.053495633333,2.86689758300781,2.72198486328125,2.79444122314453,1.43344879150391,1.36099243164063,1.39722061157227,6.45526742037032,5.81917332568663,6.13309709229442
12,123.0551623,2.86689758300781,2.72077941894531,2.79383850097656,1.43344879150391,1.36038970947266,1.39691925048828,6.45526742037032,5.81402036809669,6.13045172985303
13,123.056828966667,2.86689758300781,2.71534729003906,2.79112243652344,1.43344879150391,1.35767364501953,1.39556121826172,6.45526742037032,5.79082776372305,6.11853793567568
14,123.058495633333,2.86471557617188,2.71534729003906,2.79003143310547,1.43235778808594,1.35767364501953,1.39501571655273,6.445444901783,5.79082776372305,6.11375560074652
15,123.0601623,2.87159729003906,2.71949768066406,2.79554748535156,1.43579864501953,1.35974884033203,1.39777374267578,6.47644901562879,5.80854377773472,6.13795398923225
16,123.061828966667,2.86471557617188,2.724609375,2.79466247558594,1.43235778808594,1.3623046875,1.39733123779297,6.445444901783,5.83040031786163,6.13406831789273
17,123.063495633333,2.869140625,2.72506713867188,2.79710388183594,1.4345703125,1.36253356933594,1.39855194091797,6.46537249024704,5.83235962233167,6.14479039559602
18,123.0651623,2.869140625,2.724609375,2.796875,1.4345703125,1.3623046875,1.3984375,6.46537249024704,5.83040031786163,6.14378480308048
19,123.066828966667,2.869140625,2.72506713867188,2.79710388183594,1.4345703125,1.36253356933594,1.39855194091797,6.46537249024704,5.83235962233167,6.14479039559602
20,123.068495633333,2.86869812011719,2.725830078125,2.79726409912109,1.43434906005859,1.3629150390625,1.39863204956055,6.46337834729727,5.83562586124077,6.14549435931893
21,123.0701623,2.86869812011719,2.725830078125,2.79726409912109,1.43434906005859,1.3629150390625,1.39863204956055,6.46337834729727,5.83562586124077,6.14549435931893
22,123.071828966667,2.86869812011719,2.73391723632813,2.80130767822266,1.43434906005859,1.36695861816406,1.40065383911133,6.46337834729727,5.87030420630447,6.16327441330097
23,123.073495633333,2.86660766601563,2.73478698730469,2.80069732666016,1.43330383300781,1.36739349365234,1.40034866333008,6.45396189965872,5.87403988264181,6.160588985785
24,123.0751623,2.86660766601563,2.73478698730469,2.80069732666016,1.43330383300781,1.36739349365234,1.40034866333008,6.45396189965872,5.87403988264181,6.160588985785
25,123.076828966667,2.87117004394531,2.73011779785156,2.80064392089844,1.43558502197266,1.36505889892578,1.40032196044922,6.47452198240012,5.85399913234412,6.16035403871851
26,123.078495633333,2.87117004394531,2.72874450683594,2.79995727539063,1.43558502197266,1.36437225341797,1.39997863769531,6.47452198240012,5.84811131132131,6.15733368982314
27,123.0801623,2.87037658691406,2.72148132324219,2.79592895507813,1.43518829345703,1.36074066162109,1.39796447753906,6.47094396712142,5.81702054682618,6.13962922701263
28,123.081828966667,2.87037658691406,2.72148132324219,2.79592895507813,1.43518829345703,1.36074066162109,1.39796447753906,6.47094396712142,5.81702054682618,6.13962922701263
29,123.083495633333,2.87324523925781,2.72163391113281,2.79743957519531,1.43662261962891,1.36081695556641,1.39871978759766,6.48388454399982,5.81767286199772,6.14626541347072
30,123.0851623,2.87324523925781,2.72358703613281,2.79841613769531,1.43662261962891,1.36179351806641,1.39920806884766,6.48388454399982,5.82602572631662,6.15055738104839
31,123.086828966667,2.87882995605469,2.72286987304688,2.80084991455078,1.43941497802734,1.36143493652344,1.40042495727539,6.50911444758943,5.82295796278338,6.16126028780456
