Segment Info
Segment Name,86
Recording Name,记录001
Subject Name,被试001
Start Time(s),215.9617349
End Time(s),218.460843

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,12,0.163,0.002,0.058,0.0135833333333333
2,Fixation,7,1.621,0.084,0.505,0.231571428571429
3,Saccades,20,0.715,0.001,0.151,0.03575

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Saccades,215.961,215.963,0.002
2,Null,215.963,216.021,0.058
3,Saccades,216.021,216.026,0.005
4,Null,216.026,216.031,0.005
5,Saccades,216.031,216.036,0.005
6,Null,216.036,216.063,0.027
7,Saccades,216.063,216.066,0.003
8,Null,216.066,216.078,0.012
9,Saccades,216.078,216.09,0.012
10,Null,216.09,216.095,0.005
11,Saccades,216.095,216.111,0.016
12,Null,216.111,216.115,0.004
13,Saccades,216.115,216.118,0.003
14,Null,216.118,216.121,0.003
15,Saccades,216.121,216.146,0.025
16,Null,216.146,216.148,0.002
17,Saccades,216.148,216.156,0.008
18,Null,216.156,216.165,0.009
19,Saccades,216.165,216.166,0.001
20,Null,216.166,216.168,0.002
21,Saccades,216.168,216.178,0.01
22,Null,216.178,216.21,0.032
23,Saccades,216.21,216.266,0.056
24,Fixation,216.266,216.401,0.135
25,Saccades,216.401,216.468,0.067
26,Fixation,216.468,216.841,0.373
27,Saccades,216.841,216.9,0.059
28,Fixation,216.9,217.405,0.505
29,Saccades,217.405,217.451,0.046
30,Fixation,217.451,217.535,0.084
31,Saccades,217.535,217.686,0.151
32,Null,217.686,217.69,0.004
33,Saccades,217.69,217.728,0.038
34,Fixation,217.728,217.97,0.242
35,Saccades,217.97,218.031,0.061
36,Fixation,218.031,218.22,0.189
37,Saccades,218.22,218.34,0.12
38,Fixation,218.34,218.433,0.093
39,Saccades,218.433,218.46,0.027
