Segment Info
Segment Name,169
Recording Name,记录001
Subject Name,被试001
Start Time(s),424.6976825
End Time(s),427.195614

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,2,0.015,0.003,0.012,0.0075
2,Fixation,12,1.912,0.017,0.331,0.159333333333333
3,Saccades,13,0.571,0.008,0.132,0.0439230769230769

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,424.697,424.714,0.017
2,Saccades,424.714,424.724,0.01
3,Fixation,424.724,425.055,0.331
4,Saccades,425.055,425.107,0.052
5,Fixation,425.107,425.282,0.175
6,Saccades,425.282,425.329,0.047
7,Fixation,425.329,425.499,0.17
8,Saccades,425.499,425.519,0.02
9,Fixation,425.519,425.714,0.195
10,Saccades,425.714,425.834,0.12
11,Fixation,425.834,425.987,0.153
12,Saccades,425.987,425.997,0.01
13,Fixation,425.997,426.224,0.227
14,Saccades,426.224,426.24,0.016
15,Null,426.24,426.252,0.012
16,Saccades,426.252,426.26,0.008
17,Fixation,426.26,426.335,0.075
18,Saccades,426.335,426.467,0.132
19,Null,426.467,426.47,0.003
20,Saccades,426.47,426.484,0.014
21,Fixation,426.484,426.609,0.125
22,Saccades,426.609,426.629,0.02
23,Fixation,426.629,426.9,0.271
24,Saccades,426.9,426.92,0.02
25,Fixation,426.92,427.035,0.115
26,Saccades,427.035,427.137,0.102
27,Fixation,427.137,427.195,0.058
