Segment Info
Segment Name,100
Recording Name,记录002
Subject Name,被试002
Start Time(s),251.3664408
End Time(s),253.8664552

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,9,0.064,0.002,0.033,0.00711111111111111
2,Fixation,11,2.031,0.007,0.511,0.184636363636364
3,Saccades,19,0.405,0.001,0.054,0.0213157894736842

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,251.366,251.385,0.019
2,Saccades,251.385,251.439,0.054
3,Null,251.439,251.444,0.005
4,Saccades,251.444,251.455,0.011
5,Null,251.455,251.459,0.004
6,Saccades,251.459,251.46,0.001
7,Fixation,251.46,251.607,0.147
8,Saccades,251.607,251.655,0.048
9,Null,251.655,251.659,0.004
10,Saccades,251.659,251.66,0.001
11,Null,251.66,251.662,0.002
12,Saccades,251.662,251.687,0.025
13,Null,251.687,251.69,0.003
14,Saccades,251.69,251.692,0.002
15,Fixation,251.692,251.864,0.172
16,Saccades,251.864,251.9,0.036
17,Fixation,251.9,251.965,0.065
18,Saccades,251.965,251.967,0.002
19,Null,251.967,251.969,0.002
20,Saccades,251.969,251.97,0.001
21,Null,251.97,251.972,0.002
22,Saccades,251.972,251.974,0.002
23,Fixation,251.974,252.124,0.15
24,Saccades,252.124,252.127,0.003
25,Null,252.127,252.16,0.033
26,Saccades,252.16,252.165,0.005
27,Null,252.165,252.174,0.009
28,Saccades,252.174,252.185,0.011
29,Fixation,252.185,252.295,0.11
30,Saccades,252.295,252.342,0.047
31,Fixation,252.342,252.567,0.225
32,Saccades,252.567,252.614,0.047
33,Fixation,252.614,253.039,0.425
34,Saccades,253.039,253.059,0.02
35,Fixation,253.059,253.57,0.511
36,Saccades,253.57,253.615,0.045
37,Fixation,253.615,253.815,0.2
38,Saccades,253.815,253.859,0.044
39,Fixation,253.859,253.866,0.007
