Segment Info
Segment Name,101
Recording Name,记录002
Subject Name,被试002
Start Time(s),253.8806769
End Time(s),256.3661995

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,25,0.463,0.001,0.053,0.01852
2,Blink,1,0.076,0.076,0.076,0.076
3,Fixation,7,1.533,0.07,0.356,0.219
4,Saccades,30,0.414,0.001,0.142,0.0138

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,253.88,254.229,0.349
2,Saccades,254.229,254.269,0.04
3,Fixation,254.269,254.552,0.283
4,Saccades,254.552,254.564,0.012
5,Null,254.564,254.574,0.01
6,Blink,254.574,254.65,0.076
7,Null,254.65,254.66,0.01
8,Saccades,254.66,254.714,0.054
9,Null,254.714,254.717,0.003
10,Saccades,254.717,254.739,0.022
11,Null,254.739,254.74,0.001
12,Saccades,254.74,254.762,0.022
13,Fixation,254.762,254.984,0.222
14,Saccades,254.984,254.994,0.01
15,Fixation,254.994,255.35,0.356
16,Saccades,255.35,255.492,0.142
17,Null,255.492,255.494,0.002
18,Saccades,255.494,255.509,0.015
19,Null,255.509,255.539,0.03
20,Saccades,255.539,255.54,0.001
21,Null,255.54,255.545,0.005
22,Saccades,255.545,255.547,0.002
23,Null,255.547,255.552,0.005
24,Saccades,255.552,255.555,0.003
25,Null,255.555,255.559,0.004
26,Saccades,255.559,255.56,0.001
27,Null,255.56,255.57,0.01
28,Saccades,255.57,255.572,0.002
29,Null,255.572,255.607,0.035
30,Saccades,255.607,255.609,0.002
31,Null,255.609,255.647,0.038
32,Saccades,255.647,255.65,0.003
33,Null,255.65,255.659,0.009
34,Saccades,255.659,255.66,0.001
35,Null,255.66,255.664,0.004
36,Saccades,255.664,255.67,0.006
37,Null,255.67,255.674,0.004
38,Saccades,255.674,255.677,0.003
39,Null,255.677,255.714,0.037
40,Saccades,255.714,255.715,0.001
41,Null,255.715,255.745,0.03
42,Saccades,255.745,255.754,0.009
43,Null,255.754,255.79,0.036
44,Saccades,255.79,255.794,0.004
45,Null,255.794,255.805,0.011
46,Saccades,255.805,255.807,0.002
47,Null,255.807,255.849,0.042
48,Saccades,255.849,255.857,0.008
49,Fixation,255.857,255.93,0.073
50,Saccades,255.93,255.939,0.009
51,Null,255.939,255.98,0.041
52,Saccades,255.98,255.982,0.002
53,Null,255.982,255.992,0.01
54,Saccades,255.992,255.997,0.005
55,Fixation,255.997,256.177,0.18
56,Saccades,256.177,256.179,0.002
57,Null,256.179,256.21,0.031
58,Saccades,256.21,256.232,0.022
59,Null,256.232,256.285,0.053
60,Saccades,256.285,256.29,0.005
61,Fixation,256.29,256.36,0.07
62,Saccades,256.36,256.364,0.004
63,Null,256.364,256.366,0.002
