Segment Info
Segment Name,169
Recording Name,记录001
Subject Name,被试002
Start Time(s),421.6319666
End Time(s),424.1339035

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,3,0.029,0.005,0.015,0.00966666666666667
2,Fixation,10,1.992,0.126,0.346,0.1992
3,Saccades,12,0.481,0.004,0.065,0.0400833333333333

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,421.631,421.977,0.346
2,Saccades,421.977,422.012,0.035
3,Fixation,422.012,422.138,0.126
4,Saccades,422.138,422.202,0.064
5,Fixation,422.202,422.388,0.186
6,Saccades,422.388,422.453,0.065
7,Null,422.453,422.462,0.009
8,Saccades,422.462,422.47,0.008
9,Fixation,422.47,422.65,0.18
10,Saccades,422.65,422.712,0.062
11,Null,422.712,422.717,0.005
12,Saccades,422.717,422.737,0.02
13,Fixation,422.737,422.992,0.255
14,Saccades,422.992,423.04,0.048
15,Fixation,423.04,423.17,0.13
16,Saccades,423.17,423.215,0.045
17,Fixation,423.215,423.385,0.17
18,Saccades,423.385,423.418,0.033
19,Fixation,423.418,423.718,0.3
20,Saccades,423.718,423.762,0.044
21,Fixation,423.762,423.895,0.133
22,Saccades,423.895,423.948,0.053
23,Null,423.948,423.963,0.015
24,Saccades,423.963,423.967,0.004
25,Fixation,423.967,424.133,0.166
