Segment Info
Segment Name,88
Recording Name,记录002
Subject Name,被试002
Start Time(s),221.2154595
End Time(s),223.7052172

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,36,0.479,0.001,0.06,0.0133055555555556
2,Fixation,9,1.698,0.082,0.495,0.188666666666667
3,Saccades,44,0.313,0.001,0.047,0.00711363636363636

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,221.215,221.59,0.375
2,Saccades,221.59,221.617,0.027
3,Fixation,221.617,221.75,0.133
4,Saccades,221.75,221.797,0.047
5,Fixation,221.797,222.292,0.495
6,Saccades,222.292,222.294,0.002
7,Null,222.294,222.295,0.001
8,Saccades,222.295,222.3,0.005
9,Null,222.3,222.317,0.017
10,Saccades,222.317,222.337,0.02
11,Null,222.337,222.352,0.015
12,Saccades,222.352,222.355,0.003
13,Null,222.355,222.359,0.004
14,Saccades,222.359,222.36,0.001
15,Null,222.36,222.372,0.012
16,Saccades,222.372,222.379,0.007
17,Fixation,222.379,222.475,0.096
18,Saccades,222.475,222.485,0.01
19,Null,222.485,222.489,0.004
20,Saccades,222.489,222.495,0.006
21,Null,222.495,222.499,0.004
22,Saccades,222.499,222.5,0.001
23,Fixation,222.5,222.595,0.095
24,Saccades,222.595,222.6,0.005
25,Null,222.6,222.622,0.022
26,Saccades,222.622,222.624,0.002
27,Null,222.624,222.632,0.008
28,Saccades,222.632,222.634,0.002
29,Null,222.634,222.654,0.02
30,Saccades,222.654,222.665,0.011
31,Fixation,222.665,222.747,0.082
32,Saccades,222.747,222.75,0.003
33,Null,222.75,222.757,0.007
34,Saccades,222.757,222.76,0.003
35,Null,222.76,222.764,0.004
36,Saccades,222.764,222.767,0.003
37,Null,222.767,222.769,0.002
38,Saccades,222.769,222.774,0.005
39,Null,222.774,222.775,0.001
40,Saccades,222.775,222.777,0.002
41,Null,222.777,222.789,0.012
42,Saccades,222.789,222.805,0.016
43,Null,222.805,222.814,0.009
44,Saccades,222.814,222.819,0.005
45,Null,222.819,222.879,0.06
46,Saccades,222.879,222.89,0.011
47,Null,222.89,222.909,0.019
48,Saccades,222.909,222.91,0.001
49,Null,222.91,222.939,0.029
50,Saccades,222.939,222.95,0.011
51,Null,222.95,223.002,0.052
52,Saccades,223.002,223.009,0.007
53,Null,223.009,223.014,0.005
54,Saccades,223.014,223.027,0.013
55,Null,223.027,223.035,0.008
56,Saccades,223.035,223.037,0.002
57,Null,223.037,223.047,0.01
58,Saccades,223.047,223.049,0.002
59,Fixation,223.049,223.169,0.12
60,Saccades,223.169,223.174,0.005
61,Null,223.174,223.184,0.01
62,Saccades,223.184,223.185,0.001
63,Null,223.185,223.187,0.002
64,Saccades,223.187,223.189,0.002
65,Null,223.189,223.19,0.001
66,Saccades,223.19,223.194,0.004
67,Null,223.194,223.204,0.01
68,Saccades,223.204,223.207,0.003
69,Null,223.207,223.215,0.008
70,Saccades,223.215,223.217,0.002
71,Null,223.217,223.225,0.008
72,Saccades,223.225,223.23,0.005
73,Null,223.23,223.237,0.007
74,Saccades,223.237,223.25,0.013
75,Fixation,223.25,223.374,0.124
76,Saccades,223.374,223.379,0.005
77,Null,223.379,223.385,0.006
78,Saccades,223.385,223.392,0.007
79,Null,223.392,223.394,0.002
80,Saccades,223.394,223.399,0.005
81,Null,223.399,223.407,0.008
82,Saccades,223.407,223.409,0.002
83,Null,223.409,223.467,0.058
84,Saccades,223.467,223.472,0.005
85,Null,223.472,223.474,0.002
86,Saccades,223.474,223.475,0.001
87,Null,223.475,223.507,0.032
88,Saccades,223.507,223.527,0.02
89,Fixation,223.527,223.705,0.178
