Segment Info
Segment Name,32
Recording Name,记录001
Subject Name,被试001
Start Time(s),80.2864968
End Time(s),82.7895588

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,7,0.074,0.002,0.032,0.0105714285714286
2,Fixation,6,2.146,0.253,0.494,0.357666666666667
3,Saccades,12,0.283,0.002,0.06,0.0235833333333333

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,80.286,80.64,0.354
2,Saccades,80.64,80.69,0.05
3,Fixation,80.69,81.025,0.335
4,Saccades,81.025,81.085,0.06
5,Fixation,81.085,81.395,0.31
6,Saccades,81.395,81.443,0.048
7,Fixation,81.443,81.843,0.4
8,Saccades,81.843,81.89,0.047
9,Fixation,81.89,82.143,0.253
10,Saccades,82.143,82.181,0.038
11,Null,82.181,82.183,0.002
12,Saccades,82.183,82.188,0.005
13,Null,82.188,82.22,0.032
14,Saccades,82.22,82.223,0.003
15,Null,82.223,82.23,0.007
16,Saccades,82.23,82.233,0.003
17,Null,82.233,82.236,0.003
18,Saccades,82.236,82.238,0.002
19,Null,82.238,82.24,0.002
20,Saccades,82.24,82.243,0.003
21,Null,82.243,82.25,0.007
22,Saccades,82.25,82.265,0.015
23,Null,82.265,82.286,0.021
24,Saccades,82.286,82.295,0.009
25,Fixation,82.295,82.789,0.494
