Segment Info
Segment Name,199
Recording Name,记录002
Subject Name,被试002
Start Time(s),500.272594
End Time(s),502.7783055

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,4,0.048,0.005,0.029,0.012
2,Fixation,11,1.962,0.021,0.427,0.178363636363636
3,Saccades,14,0.496,0.001,0.07,0.0354285714285714

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,500.272,500.309,0.037
2,Saccades,500.309,500.379,0.07
3,Null,500.379,500.385,0.006
4,Saccades,500.385,500.404,0.019
5,Fixation,500.404,500.54,0.136
6,Saccades,500.54,500.599,0.059
7,Null,500.599,500.604,0.005
8,Saccades,500.604,500.619,0.015
9,Fixation,500.619,500.747,0.128
10,Saccades,500.747,500.797,0.05
11,Null,500.797,500.805,0.008
12,Saccades,500.805,500.812,0.007
13,Fixation,500.812,500.989,0.177
14,Saccades,500.989,501.019,0.03
15,Fixation,501.019,501.205,0.186
16,Saccades,501.205,501.21,0.005
17,Fixation,501.21,501.637,0.427
18,Saccades,501.637,501.695,0.058
19,Null,501.695,501.724,0.029
20,Saccades,501.724,501.725,0.001
21,Fixation,501.725,501.912,0.187
22,Saccades,501.912,501.95,0.038
23,Fixation,501.95,502.095,0.145
24,Saccades,502.095,502.14,0.045
25,Fixation,502.14,502.44,0.3
26,Saccades,502.44,502.492,0.052
27,Fixation,502.492,502.71,0.218
28,Saccades,502.71,502.757,0.047
29,Fixation,502.757,502.778,0.021
