Data Info
Recording,记录002
Subject,被试002
Frequency(Hz),600
Duration(s),2.5044334
Resolution(px),1920,1080
Create Date,2025-01-03 13:51:04.130

Gaze Data Processing
Interpolation
Max gap length (ms),Enabled,75
Noise Reduction
Method,Enabled,滑动中值滤波
Window size (samples),Enabled,3

Fixation Classification
Velocity Calculator
Window lenght (ms),20
I-VT Classifier
Velocity threshold (°/s),30
Merge Adjacent Fixations
Max time between fixation (ms),Enabled,75
Max angle between fixation (degree),Enabled,0.5
Discard Short Fixation
Minimum fixation duration (ms),Enabled,60

Gaze Data
Id,Time(s),X(%),Y(%),X(px),Y(px),Eye State,Velocity(degree/s)
1,245.609061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,9.01917389543133
2,245.610727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,11.442558637911
3,245.6123945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,15.6491191970895
4,245.614061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,15.2126317347873
5,245.615727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,19.3387113533219
6,245.6173945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,6.56301148556357
7,245.619061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,3.28457332552488
8,245.620727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,3.89014451487944
9,245.6223945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,4.41078351785328
10,245.624061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,8.2473059363184
11,245.625727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,3.45336922332366
12,245.6273945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,7.49390354427948
13,245.629061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,9.28278722024549
14,245.630727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,6.01713965068007
15,245.6323945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,5.89934929013221
16,245.634061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,3.10915851452037
17,245.635727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,7.27634560909352
18,245.6373945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,6.87691111952882
19,245.639061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,4.31340264030417
20,245.640727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,3.19449745277496
21,245.6423945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,2.72935918946638
22,245.644061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,4.67337562326471
23,245.645727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,4.15919414137512
24,245.6473945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,5.59733811342324
25,245.649061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,4.54960381174085
26,245.650727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,10.0870332743697
27,245.6523945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,10.1346879894336
28,245.654061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,1.82356618730687
29,245.655727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,2.56430685351039
30,245.6573945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,4.92042708877485
31,245.659061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,4.46974766431553
32,245.660727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,3.91333283818182
33,245.6623945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,6.49762043468893
34,245.664061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,2.08558614303338
35,245.665727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,8.65208226929589
36,245.6673945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,7.66385485250158
37,245.669061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,6.40662941952871
38,245.670727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,3.7866025007828
39,245.6723945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,5.5679504306835
40,245.674061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,4.58644691502368
41,245.675727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,1.23707385230083
42,245.6773945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,4.82262326988067
43,245.679061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,4.44190262277439
44,245.680727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,1.32294934649208
45,245.6823945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,2.41784410313337
46,245.684061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,1.31328167887395
47,245.685727833333,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,6.71433403186971
48,245.6873945,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,7.43975027384836
49,245.689061166667,50.0957358899701,37.5844060346998,961.838129087426,405.911585174758,注视,7.39756217930008
