Segment Info
Segment Name,76
Recording Name,记录001
Subject Name,被试001
Start Time(s),151.0997052
End Time(s),153.0971874

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,11,0.071,0.001,0.012,0.00645454545454545
2,Blink,2,0.184,0.089,0.095,0.092
3,Fixation,6,1.471,0.132,0.467,0.245166666666667
4,Saccades,14,0.272,0.001,0.05,0.0194285714285714

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,151.099,151.327,0.228
2,Saccades,151.327,151.375,0.048
3,Fixation,151.375,151.507,0.132
4,Saccades,151.507,151.53,0.023
5,Null,151.53,151.54,0.01
6,Blink,151.54,151.629,0.089
7,Null,151.629,151.639,0.01
8,Saccades,151.639,151.659,0.02
9,Null,151.659,151.664,0.005
10,Saccades,151.664,151.67,0.006
11,Null,151.67,151.674,0.004
12,Saccades,151.674,151.692,0.018
13,Null,151.692,151.697,0.005
14,Saccades,151.697,151.709,0.012
15,Fixation,151.709,151.987,0.278
16,Saccades,151.987,152.037,0.05
17,Fixation,152.037,152.504,0.467
18,Saccades,152.504,152.54,0.036
19,Fixation,152.54,152.684,0.144
20,Saccades,152.684,152.702,0.018
21,Null,152.702,152.712,0.01
22,Blink,152.712,152.807,0.095
23,Null,152.807,152.817,0.01
24,Saccades,152.817,152.834,0.017
25,Null,152.834,152.835,0.001
26,Saccades,152.835,152.842,0.007
27,Null,152.842,152.844,0.002
28,Saccades,152.844,152.845,0.001
29,Null,152.845,152.847,0.002
30,Saccades,152.847,152.85,0.003
31,Null,152.85,152.862,0.012
32,Saccades,152.862,152.875,0.013
33,Fixation,152.875,153.097,0.222
