Segment Info
Segment Name,200
Recording Name,记录002
Subject Name,被试002
Start Time(s),502.7929317
End Time(s),505.2900965

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,7,0.055,0.001,0.017,0.00785714285714286
2,Fixation,12,1.919,0.075,0.245,0.159916666666667
3,Saccades,18,0.524,0.001,0.073,0.0291111111111111

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,502.792,502.944,0.152
2,Saccades,502.944,502.947,0.003
3,Fixation,502.947,503.075,0.128
4,Saccades,503.075,503.137,0.062
5,Null,503.137,503.152,0.015
6,Saccades,503.152,503.16,0.008
7,Fixation,503.16,503.34,0.18
8,Saccades,503.34,503.395,0.055
9,Null,503.395,503.404,0.009
10,Saccades,503.404,503.415,0.011
11,Null,503.415,503.42,0.005
12,Saccades,503.42,503.422,0.002
13,Fixation,503.422,503.58,0.158
14,Saccades,503.58,503.625,0.045
15,Fixation,503.625,503.815,0.19
16,Saccades,503.815,503.862,0.047
17,Fixation,503.862,503.979,0.117
18,Saccades,503.979,504.025,0.046
19,Fixation,504.025,504.177,0.152
20,Saccades,504.177,504.197,0.02
21,Fixation,504.197,504.442,0.245
22,Saccades,504.442,504.515,0.073
23,Null,504.515,504.52,0.005
24,Saccades,504.52,504.534,0.014
25,Null,504.534,504.535,0.001
26,Saccades,504.535,504.537,0.002
27,Fixation,504.537,504.67,0.133
28,Saccades,504.67,504.694,0.024
29,Fixation,504.694,504.907,0.213
30,Saccades,504.907,504.954,0.047
31,Null,504.954,504.957,0.003
32,Saccades,504.957,504.969,0.012
33,Fixation,504.969,505.145,0.176
34,Saccades,505.145,505.197,0.052
35,Null,505.197,505.214,0.017
36,Saccades,505.214,505.215,0.001
37,Fixation,505.215,505.29,0.075
