Segment Info
Segment Name,48
Recording Name,记录002
Subject Name,被试002
Start Time(s),120.4330369
End Time(s),122.9322529

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,4,0.043,0.002,0.021,0.01075
2,Blink,1,0.16,0.16,0.16,0.16
3,Fixation,11,1.817,0.077,0.258,0.165181818181818
4,Saccades,13,0.479,0.002,0.06,0.0368461538461538

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,120.433,120.51,0.077
2,Saccades,120.51,120.568,0.058
3,Fixation,120.568,120.823,0.255
4,Saccades,120.823,120.868,0.045
5,Fixation,120.868,120.983,0.115
6,Saccades,120.983,120.985,0.002
7,Null,120.985,120.995,0.01
8,Blink,120.995,121.155,0.16
9,Null,121.155,121.165,0.01
10,Saccades,121.165,121.178,0.013
11,Null,121.178,121.18,0.002
12,Saccades,121.18,121.205,0.025
13,Fixation,121.205,121.351,0.146
14,Saccades,121.351,121.4,0.049
15,Fixation,121.4,121.551,0.151
16,Saccades,121.551,121.605,0.054
17,Fixation,121.605,121.755,0.15
18,Saccades,121.755,121.815,0.06
19,Fixation,121.815,122.073,0.258
20,Saccades,122.073,122.123,0.05
21,Fixation,122.123,122.298,0.175
22,Saccades,122.298,122.343,0.045
23,Fixation,122.343,122.541,0.198
24,Saccades,122.541,122.595,0.054
25,Null,122.595,122.616,0.021
26,Saccades,122.616,122.62,0.004
27,Fixation,122.62,122.825,0.205
28,Saccades,122.825,122.845,0.02
29,Fixation,122.845,122.932,0.087
