Segment Info
Segment Name,68
Recording Name,记录001
Subject Name,被试002
Start Time(s),168.2138649
End Time(s),170.7156771

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,9,0.086,0.001,0.028,0.00955555555555555
2,Blink,2,0.206,0.099,0.107,0.103
3,Fixation,8,1.719,0.073,0.487,0.214875
4,Saccades,14,0.491,0.002,0.068,0.0350714285714286

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,168.213,168.328,0.115
2,Saccades,168.328,168.388,0.06
3,Null,168.388,168.395,0.007
4,Saccades,168.395,168.408,0.013
5,Fixation,168.408,168.562,0.154
6,Saccades,168.562,168.618,0.056
7,Null,168.618,168.63,0.012
8,Saccades,168.63,168.632,0.002
9,Fixation,168.632,168.787,0.155
10,Saccades,168.787,168.84,0.053
11,Fixation,168.84,169.005,0.165
12,Saccades,169.005,169.072,0.067
13,Null,169.072,169.078,0.006
14,Saccades,169.078,169.097,0.019
15,Fixation,169.097,169.38,0.283
16,Saccades,169.38,169.448,0.068
17,Null,169.448,169.45,0.002
18,Saccades,169.45,169.473,0.023
19,Fixation,169.473,169.76,0.287
20,Saccades,169.76,169.803,0.043
21,Null,169.803,169.813,0.01
22,Blink,169.813,169.912,0.099
23,Null,169.912,169.94,0.028
24,Saccades,169.94,169.962,0.022
25,Fixation,169.962,170.035,0.073
26,Saccades,170.035,170.073,0.038
27,Null,170.073,170.083,0.01
28,Blink,170.083,170.19,0.107
29,Null,170.19,170.2,0.01
30,Saccades,170.2,170.202,0.002
31,Null,170.202,170.203,0.001
32,Saccades,170.203,170.228,0.025
33,Fixation,170.228,170.715,0.487
