Segment Info
Segment Name,40
Recording Name,记录001
Subject Name,被试001
Start Time(s),100.4254667
End Time(s),102.9308194

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,7,0.132,0.01,0.052,0.0188571428571429
2,Blink,2,0.224,0.095,0.129,0.112
3,Fixation,8,1.83,0.088,0.34,0.22875
4,Saccades,12,0.319,0.002,0.053,0.0265833333333333

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,100.425,100.689,0.264
2,Saccades,100.689,100.739,0.05
3,Fixation,100.739,100.907,0.168
4,Saccades,100.907,100.952,0.045
5,Fixation,100.952,101.119,0.167
6,Saccades,101.119,101.162,0.043
7,Fixation,101.162,101.502,0.34
8,Saccades,101.502,101.547,0.045
9,Fixation,101.547,101.874,0.327
10,Saccades,101.874,101.915,0.041
11,Fixation,101.915,102.089,0.174
12,Saccades,102.089,102.095,0.006
13,Null,102.095,102.105,0.01
14,Blink,102.105,102.234,0.129
15,Null,102.234,102.244,0.01
16,Saccades,102.244,102.267,0.023
17,Null,102.267,102.28,0.013
18,Saccades,102.28,102.285,0.005
19,Null,102.285,102.337,0.052
20,Saccades,102.337,102.39,0.053
21,Fixation,102.39,102.692,0.302
22,Saccades,102.692,102.694,0.002
23,Null,102.694,102.704,0.01
24,Blink,102.704,102.799,0.095
25,Null,102.799,102.809,0.01
26,Saccades,102.809,102.812,0.003
27,Null,102.812,102.839,0.027
28,Saccades,102.839,102.842,0.003
29,Fixation,102.842,102.93,0.088
