Segment Info
Segment Name,132
Recording Name,记录001
Subject Name,被试002
Start Time(s),328.7888844
End Time(s),331.2915628

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,10,0.102,0.003,0.018,0.0102
2,Blink,4,0.744,0.172,0.22,0.186
3,Fixation,7,1.229,0.039,0.309,0.175571428571429
4,Saccades,12,0.428,0.001,0.065,0.0356666666666667

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,328.788,328.908,0.12
2,Saccades,328.908,328.972,0.064
3,Fixation,328.972,329.073,0.101
4,Saccades,329.073,329.135,0.062
5,Null,329.135,329.147,0.012
6,Saccades,329.147,329.148,0.001
7,Fixation,329.148,329.457,0.309
8,Saccades,329.457,329.51,0.053
9,Fixation,329.51,329.703,0.193
10,Saccades,329.703,329.727,0.024
11,Null,329.727,329.737,0.01
12,Blink,329.737,329.917,0.18
13,Null,329.917,329.92,0.003
14,Blink,329.92,330.092,0.172
15,Null,330.092,330.11,0.018
16,Blink,330.11,330.282,0.172
17,Null,330.282,330.292,0.01
18,Saccades,330.292,330.34,0.048
19,Fixation,330.34,330.557,0.217
20,Saccades,330.557,330.61,0.053
21,Null,330.61,330.623,0.013
22,Blink,330.623,330.843,0.22
23,Null,330.843,330.853,0.01
24,Saccades,330.853,330.887,0.034
25,Null,330.887,330.902,0.015
26,Saccades,330.902,330.903,0.001
27,Fixation,330.903,331.153,0.25
28,Saccades,331.153,331.218,0.065
29,Null,331.218,331.222,0.004
30,Saccades,331.222,331.243,0.021
31,Null,331.243,331.25,0.007
32,Saccades,331.25,331.252,0.002
33,Fixation,331.252,331.291,0.039
